city_name,h3_id,hex_geom,buildings_in_hex,buildings_with_access,access_pct
Paris,8a1fb4646d37fff,"POLYGON((2.35058674516008 48.8286166578555, 2.34968504769498 48.8284527882471, 2.3494956207453 48.8278090510233, 2.3502078780713 48.8273291895189, 2.35110955550721 48.8274930608915, 2.35129899564598 48.8281367920043, 2.35058674516008 48.8286166578555))",45,45,100
Paris,8a1fb4662c6ffff,"POLYGON((2.3532709342729 48.8638297591006, 2.35236872722003 48.86366610901, 2.35217916611919 48.8630225718452, 2.35289179886799 48.8625426908782, 2.35379398586826 48.8627063427318, 2.35398356017202 48.8633498737894, 2.3532709342729 48.8638297591006))",30,30,100
Paris,8a1fb4674db7fff,"POLYGON((2.28139942126167 48.8605200982148, 2.28049681798743 48.8603558105739, 2.28030789959355 48.8597119095443, 2.28102157123088 48.8592323022542, 2.28192415445587 48.8593965916374, 2.28211308609248 48.8600404865685, 2.28139942126167 48.8605200982148))",17,17,100
Paris,8a1fb4663a27fff,"POLYGON((2.39652532006744 48.8686215567546, 2.39562331060176 48.8684583058359, 2.39543335430422 48.8678150029636, 2.39614539429192 48.8673349571222, 2.39704738370122 48.8674982098163, 2.39723735317892 48.8681415065764, 2.39652532006744 48.8686215567546))",20,20,100
Paris,8a1fb4671077fff,"POLYGON((2.3502458088323 48.8419588055348, 2.34934390993268 48.8417950073975, 2.3491544441098 48.8411513393709, 2.34986686399113 48.840671475591, 2.35076874285271 48.8408352754917, 2.3509582218707 48.8414789374089, 2.3502458088323 48.8419588055348))",16,16,100
Paris,8a1fb466299ffff,"POLYGON((2.35170164634515 48.8671999773369, 2.35079937913005 48.8670363325341, 2.35060982123649 48.8663928057319, 2.3513225173524 48.8659129298391, 2.35222476451265 48.8660765764043, 2.35241433561155 48.8667200970998, 2.35170164634515 48.8671999773369))",24,24,100
Paris,8a1fb4646c37fff,"POLYGON((2.35324619464137 48.8260534506147, 2.35234455198261 48.8258895896103, 2.3521551097086 48.8252458516182, 2.35286729690663 48.8247659807421, 2.35376891953791 48.8249298435117, 2.35395837499833 48.8255735753922, 2.35324619464137 48.8260534506147))",36,36,100
Paris,8a1fb467461ffff,"POLYGON((2.30284535464855 48.8491857460076, 2.30194305362457 48.8490215799367, 2.30175398196424 48.8483777218396, 2.30246719810212 48.8478980359158, 2.30336947908399 48.8480622037358, 2.3035585639698 48.8487060557305, 2.30284535464855 48.8491857460076))",5,5,100
Paris,8a1fb467285ffff,"POLYGON((2.3068645057577 48.827975882182, 2.30596254655587 48.8278116324918, 2.30577350595299 48.8271676810541, 2.30648641133777 48.826687985412, 2.30738835051152 48.8268522368537, 2.30757740432827 48.827496182186, 2.3068645057577 48.827975882182))",9,9,100
Paris,8a1fb4671657fff,"POLYGON((2.35442866017339 48.8329704217101, 2.35352692155728 48.8328066094597, 2.35333744718904 48.8321629138845, 2.35404969824786 48.8316830366707, 2.3549514168319 48.8318468506862, 2.35514090438888 48.8324905401504, 2.35442866017339 48.8329704217101))",14,14,100
